#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UniRef50_A0A1Q9EEX7    -          YP_009664532.1       -            5.3e-59  210.6 245.7   1.4e+02   13.7   2.4  29.2   1   1  31  32  32  32   0 Uncharacterized protein n=1 Tax=Symbiodinium microadriaticum TaxID=2951 RepID=A0A1Q9EEX7_SYMMI
UniRef50_A0A198GDU7    -          YP_009664521.1       -             0.0012   30.0   4.1    0.0015   29.8   4.1   1.1   1   0   0   1   1   1   0 TraX family plasmid conjugative transfer pilin acetylase n=1 Tax=Enterobacter soli ATCC BAA-2102 TaxID=1354262 RepID=A0A198GDU7_9ENTR
UniRef50_UPI0015D48F38 -          YP_009664521.1       -             0.0013   29.9   3.8    0.0014   29.9   3.8   1.0   1   0   0   1   1   1   0 hypothetical protein n=1 Tax=Sphingobacterium sp. 1.A.5 TaxID=2044604 RepID=UPI0015D48F38
UniRef50_A0A0D8IAF0    -          YP_009664521.1       -             0.0014   29.9  15.2    0.0019   29.4  15.2   1.3   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=12 Tax=root TaxID=1 RepID=A0A0D8IAF0_9CLOT
UniRef50_A0A352FPW2    -          YP_009664521.1       -             0.0015   29.8   0.8    0.0017   29.6   0.8   1.0   1   0   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=4 Tax=Bacteria TaxID=2 RepID=A0A352FPW2_9BACT
UniRef50_A0A4R2TXZ1    -          YP_009664521.1       -             0.0015   29.7  15.2    0.0025   29.0  15.0   1.4   1   1   0   1   1   1   0 Putative membrane protein n=1 Tax=Serpentinicella alkaliphila TaxID=1734049 RepID=A0A4R2TXZ1_9CLOT
UniRef50_A0A143YRP0    -          YP_009664521.1       -             0.0016   29.7   4.4    0.0017   29.6   4.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=Trichococcus palustris TaxID=140314 RepID=A0A143YRP0_9LACT
UniRef50_UPI001AEF723C -          YP_009664521.1       -             0.0016   29.7  15.1     0.002   29.3  15.1   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Hydrocoleum sp. CS-953 TaxID=1671698 RepID=UPI001AEF723C
UniRef50_A0A7C6QHQ4    -          YP_009664521.1       -             0.0016   29.7   8.5    0.0018   29.5   8.5   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=4 Tax=Clostridia bacterium TaxID=2044939 RepID=A0A7C6QHQ4_9FIRM
UniRef50_A0A351J0A7    -          YP_009664521.1       -             0.0016   29.6   2.9     0.002   29.4   2.9   1.1   1   0   0   1   1   1   0 Uncharacterized protein (Fragment) n=1 Tax=Clostridiales bacterium TaxID=1898207 RepID=A0A351J0A7_9FIRM
UniRef50_UPI0011AECAEC -          YP_009664521.1       -             0.0017   29.6   9.1    0.0024   29.1   9.1   1.4   1   1   0   1   1   1   0 hypothetical protein n=1 Tax=Eisenbergiella massiliensis TaxID=1720294 RepID=UPI0011AECAEC
UniRef50_UPI0013623F6D -          YP_009664521.1       -              0.002   29.4   4.9    0.0021   29.3   4.9   1.0   1   0   0   1   1   1   0 hypothetical protein n=1 Tax=Marinospirillum insulare TaxID=217169 RepID=UPI0013623F6D
UniRef50_A0A011NAH4    -          YP_009664521.1       -             0.0022   29.2   0.2    0.0053   28.0   0.0   1.6   2   0   0   2   2   1   0 Conjugal transfer protein TrbP n=1 Tax=Candidatus Accumulibacter sp. SK-11 TaxID=1454000 RepID=A0A011NAH4_9PROT
UniRef50_A0A3M1XKY6    -          YP_009664521.1       -             0.0024   29.1   5.8    0.0024   29.1   5.8   1.3   1   1   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=1 Tax=Calditrichaeota bacterium TaxID=2212469 RepID=A0A3M1XKY6_9BACT
UniRef50_A0A2V7HEW9    -          YP_009664521.1       -             0.0024   29.1   8.2    0.0033   28.7   8.2   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=2 Tax=Gemmatimonadetes bacterium TaxID=2026742 RepID=A0A2V7HEW9_9BACT
UniRef50_A0A6J4TRM9    -          YP_009664521.1       -             0.0026   29.0   0.8    0.0035   28.6   0.8   1.2   1   0   0   1   1   1   0 Putative membrane protein n=1 Tax=uncultured Segetibacter sp. TaxID=481133 RepID=A0A6J4TRM9_9BACT
UniRef50_UPI00195C09A9 -          YP_009664521.1       -             0.0028   28.9  27.3     0.029   25.6   2.6   3.2   3   0   0   3   3   3   0 O-antigen ligase family protein n=1 Tax=Collinsella tanakaei TaxID=626935 RepID=UPI00195C09A9
UniRef50_A0A538P2C3    -          YP_009664521.1       -             0.0031   28.8   5.1     0.004   28.4   5.1   1.1   1   0   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=3 Tax=Bacteria TaxID=2 RepID=A0A538P2C3_9BACT
UniRef50_R7ENA4        -          YP_009664521.1       -             0.0031   28.7   3.2    0.0035   28.6   3.2   1.3   1   1   0   1   1   1   0 Uncharacterized protein n=1 Tax=Anaerotruncus sp. CAG:390 TaxID=1262703 RepID=R7ENA4_9FIRM
UniRef50_UPI0013DCEEF9 -          YP_009664521.1       -             0.0031   28.7   0.1    0.0035   28.6   0.1   1.0   1   0   0   1   1   1   0 hypothetical protein n=1 Tax=Stenotrophomonas indicatrix TaxID=2045451 RepID=UPI0013DCEEF9
UniRef50_A0A2D9HRQ5    -          YP_009664521.1       -             0.0038   28.5   9.2    0.0069   27.6   9.2   1.4   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Crocinitomicaceae bacterium TaxID=2026728 RepID=A0A2D9HRQ5_9FLAO
UniRef50_A0A3B9UU61    -          YP_009664521.1       -              0.004   28.4   1.9     0.004   28.4   1.9   1.0   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=Clostridium sp. TaxID=1506 RepID=A0A3B9UU61_CLOSP
UniRef50_A0A084T0N8    -          YP_009664521.1       -              0.004   28.4   2.7    0.0075   27.5   2.7   1.4   1   1   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=1 Tax=Archangium violaceum Cb vi76 TaxID=1406225 RepID=A0A084T0N8_9DELT
UniRef50_UPI0013EA199F -          YP_009664521.1       -             0.0042   28.3  14.6       2.7   19.1  13.2   2.8   1   1   1   2   2   2   0 DUF1624 domain-containing protein n=1 Tax=Aquisphaera sp. JC669 TaxID=2712864 RepID=UPI0013EA199F
UniRef50_A0A415KDC9    -          YP_009664521.1       -             0.0042   28.3   1.0     0.005   28.1   1.0   1.0   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Bacteroides xylanisolvens TaxID=371601 RepID=A0A415KDC9_9BACE
UniRef50_UPI00003C9A68 -          YP_009664521.1       -             0.0043   28.3   2.8    0.0052   28.0   2.8   1.1   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Trichodesmium erythraeum TaxID=1206 RepID=UPI00003C9A68
UniRef50_M4UX97        -          YP_009664521.1       -             0.0043   28.3   2.2    0.0055   27.9   2.2   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Ralstonia solanacearum FQY_4 TaxID=1262456 RepID=M4UX97_RALSL
UniRef50_A0A7D3WPA7    -          YP_009664521.1       -             0.0043   28.3   8.1    0.0058   27.8   8.1   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Hymenobacter sp. BRD67 TaxID=2675877 RepID=A0A7D3WPA7_9BACT
UniRef50_A0A7X7NKR2    -          YP_009664521.1       -             0.0044   28.3   0.6    0.0046   28.2   0.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=Fibrobacter sp. TaxID=35828 RepID=A0A7X7NKR2_9BACT
UniRef50_A0A6L8DGF0    -          YP_009664521.1       -             0.0045   28.2   5.3    0.0045   28.2   5.3   2.5   2   1   0   2   2   1   0 DUF1624 domain-containing protein n=8 Tax=FCB group TaxID=1783270 RepID=A0A6L8DGF0_9BACT
UniRef50_A0A3B9CYS0    -          YP_009664521.1       -             0.0046   28.2  11.7    0.0046   28.2  11.7   2.4   2   1   0   2   2   1   0 DUF1624 domain-containing protein n=1 Tax=Planctomycetaceae bacterium TaxID=2026779 RepID=A0A3B9CYS0_9PLAN
UniRef50_A0A1X2ZPS9    -          YP_009664521.1       -             0.0046   28.2   2.2    0.0053   28.0   2.2   1.2   1   0   0   1   1   1   0 ABC transporter permease n=1 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1X2ZPS9_BIFAD
UniRef50_A0A5B8RL83    -          YP_009664521.1       -             0.0048   28.1   0.9    0.0052   28.0   0.9   1.1   1   0   0   1   1   1   0 TraX family protein n=1 Tax=Haemophilus influenzae TaxID=727 RepID=A0A5B8RL83_HAEIF
UniRef50_A0A3D4Q8S7    -          YP_009664521.1       -              0.005   28.1   0.2    0.0062   27.8   0.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein (Fragment) n=1 Tax=Oribacterium sp. TaxID=1969407 RepID=A0A3D4Q8S7_9FIRM
UniRef50_A0A2E7H3D1    -          YP_009664521.1       -             0.0053   28.0   0.1    0.0057   27.9   0.1   1.1   1   0   0   1   1   1   0 Acyl_transf_3 domain-containing protein (Fragment) n=1 Tax=Euryarchaeota archaeon TaxID=2026739 RepID=A0A2E7H3D1_9EURY
UniRef50_J9G9J6        -          YP_009664521.1       -             0.0057   27.9   0.2    0.0061   27.8   0.2   1.0   1   0   0   1   1   1   0 TraX (Fragment) n=1 Tax=gut metagenome TaxID=749906 RepID=J9G9J6_9ZZZZ
UniRef50_A0A2D5X9J8    -          YP_009664521.1       -             0.0059   27.8  13.3      0.02   26.1  13.3   1.9   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=4 Tax=Euryarchaeota archaeon TaxID=2026739 RepID=A0A2D5X9J8_9EURY
UniRef50_A0A7C6T328    -          YP_009664521.1       -              0.006   27.8   5.1    0.0072   27.5   5.1   1.1   1   0   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=2 Tax=Clostridiaceae bacterium TaxID=1898204 RepID=A0A7C6T328_9CLOT
UniRef50_A0A353ZFB7    -          YP_009664521.1       -             0.0077   27.5   1.2    0.0077   27.5   1.2   2.6   1   1   0   2   2   1   0 DUF1624 domain-containing protein n=1 Tax=Planctomycetaceae bacterium TaxID=2026779 RepID=A0A353ZFB7_9PLAN
UniRef50_A0A2E9DZ68    -          YP_009664521.1       -             0.0086   27.3   5.9     0.011   26.9   5.9   1.3   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Euryarchaeota archaeon TaxID=2026739 RepID=A0A2E9DZ68_9EURY
UniRef50_A0A1M5T330    -          YP_009664521.1       -             0.0087   27.3   0.1    0.0087   27.3   0.1   1.1   1   0   0   1   1   1   0 TraX protein n=1 Tax=Butyrivibrio fibrisolvens DSM 3071 TaxID=1121131 RepID=A0A1M5T330_BUTFI
UniRef50_A0A2H0MPI7    -          YP_009664521.1       -             0.0089   27.2   7.1    0.0089   27.2   7.1   2.8   3   1   0   3   3   1   0 Uncharacterized protein n=4 Tax=Nitrospinae TaxID=1293497 RepID=A0A2H0MPI7_9BACT
UniRef50_A0A7M3Y2L9    -          YP_009664521.1       -             0.0089   27.2   0.1    0.0099   27.1   0.1   1.1   1   0   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=2 Tax=Candidatus Poseidoniales TaxID=133814 RepID=A0A7M3Y2L9_9ARCH
UniRef50_A0A496NVX0    -          YP_009664521.1       -             0.0092   27.2   8.5     0.011   27.0   8.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=Lachnospiraceae bacterium TaxID=1898203 RepID=A0A496NVX0_9FIRM
UniRef50_A0A4U6CPG2    -          YP_009664521.1       -             0.0093   27.2   0.1     0.011   27.0   0.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=Dyadobacter frigoris TaxID=2576211 RepID=A0A4U6CPG2_9BACT
UniRef50_A0A7L6BGQ5    -          YP_009664521.1       -             0.0096   27.1  11.1    0.0096   27.1  11.1   3.4   3   0   0   3   3   2   0 Uncharacterized protein n=2 Tax=Lactobacillus reuteri TaxID=1598 RepID=A0A7L6BGQ5_LACRE
UniRef50_A0A4Q2WMN5    -          YP_009664521.1       -             0.0097   27.1   7.4     0.011   26.9   7.4   1.1   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Desulfotomaculum aquiferis TaxID=1397668 RepID=A0A4Q2WMN5_9FIRM
UniRef50_UPI0005F32CAE -          YP_009664521.1       -              0.011   27.0   3.2     0.012   26.9   3.2   1.1   1   0   0   1   1   1   0 hypothetical protein n=2 Tax=Streptococcus gordonii TaxID=1302 RepID=UPI0005F32CAE
UniRef50_A0A353FLY9    -          YP_009664521.1       -              0.011   27.0   3.8     0.011   27.0   3.8   2.6   2   1   0   2   2   1   0 DUF1624 domain-containing protein n=1 Tax=Planctomycetes bacterium TaxID=2026780 RepID=A0A353FLY9_9BACT
UniRef50_A0A7Y6TXZ5    -          YP_009664521.1       -              0.011   26.9   0.1     0.013   26.7   0.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=Schlegelella koreensis TaxID=2742824 RepID=A0A7Y6TXZ5_9BURK
UniRef50_A0A4Q2AWC7    -          YP_009664521.1       -              0.011   26.9   1.8     0.012   26.9   1.8   1.0   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=Ligilactobacillus murinus TaxID=1622 RepID=A0A4Q2AWC7_9LACO
UniRef50_A0A355SDZ7    -          YP_009664521.1       -              0.012   26.9  10.8     0.018   26.3  10.8   1.3   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Clostridiaceae bacterium TaxID=1898204 RepID=A0A355SDZ7_9CLOT
UniRef50_UPI00112037D8 -          YP_009664521.1       -              0.012   26.8   0.4     0.013   26.7   0.4   1.0   1   0   0   1   1   1   0 hypothetical protein n=2 Tax=Stenotrophomonas maltophilia TaxID=40324 RepID=UPI00112037D8
UniRef50_A0A0Q7SB13    -          YP_009664521.1       -              0.012   26.8  19.3     0.024   25.8  15.5   2.3   1   1   1   2   2   1   0 DUF1624 domain-containing protein n=2 Tax=Brevundimonas sp. Root1423 TaxID=1736462 RepID=A0A0Q7SB13_9CAUL
UniRef50_UPI0011A15408 -          YP_009664521.1       -              0.013   26.7  10.5     0.022   25.9  10.5   1.4   1   1   0   1   1   1   0 acyltransferase family protein n=2 Tax=Yersinia kristensenii TaxID=28152 RepID=UPI0011A15408
UniRef50_A0A379Z9M5    -          YP_009664521.1       -              0.014   26.6   0.4     0.017   26.3   0.4   1.1   1   0   0   1   1   1   0 Predicted membrane protein n=1 Tax=Serratia quinivorans TaxID=137545 RepID=A0A379Z9M5_9GAMM
UniRef50_A0A0S1SKA6    -          YP_009664521.1       -              0.014   26.6   6.2     0.014   26.6   6.2   2.1   1   1   1   2   2   1   0 DUF1624 domain-containing protein n=3 Tax=Candidatus Peregrinibacteria TaxID=1619053 RepID=A0A0S1SKA6_9BACT
UniRef50_A0A2H4SI12    -          YP_009664521.1       -              0.016   26.4   0.3     0.016   26.4   0.3   2.8   1   1   2   3   3   1   0 M20_dimer domain-containing protein (Fragment) n=1 Tax=Cordyceps militaris TaxID=73501 RepID=A0A2H4SI12_CORMI
UniRef50_A0A3D5VDV1    -          YP_009664521.1       -              0.016   26.4   6.2      0.02   26.1   6.2   1.0   1   0   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=1 Tax=Firmicutes bacterium TaxID=1879010 RepID=A0A3D5VDV1_9FIRM
UniRef50_A0A359DA43    -          YP_009664521.1       -              0.017   26.4   4.1     0.019   26.2   4.1   1.0   1   0   0   1   1   1   0 Conjugal transfer protein TraX (Fragment) n=1 Tax=Pseudomonas sp. TaxID=306 RepID=A0A359DA43_PSESP
UniRef50_UPI000986CF49 -          YP_009664521.1       -              0.017   26.3   1.2     0.018   26.2   1.2   1.0   1   0   0   1   1   1   0 hypothetical protein n=1 Tax=Pseudomonas aeruginosa TaxID=287 RepID=UPI000986CF49
UniRef50_A0A2V6T2C7    -          YP_009664521.1       -              0.017   26.3   1.5     0.017   26.3   1.5   2.3   1   1   1   2   2   1   0 DUF1624 domain-containing protein n=4 Tax=Candidatus Rokubacteria bacterium TaxID=2053607 RepID=A0A2V6T2C7_9BACT
UniRef50_UPI000C1EDDE7 -          YP_009664521.1       -              0.018   26.3   0.5      0.02   26.1   0.5   1.1   1   0   0   1   1   1   0 hypothetical protein n=1 Tax=Streptococcus downei TaxID=1317 RepID=UPI000C1EDDE7
UniRef50_A0A7S4FJC7    -          YP_009664521.1       -              0.018   26.2   6.2     0.021   26.0   6.2   1.1   1   0   0   1   1   1   0 Hypothetical protein (Fragment) n=1 Tax=Eutreptiella gymnastica TaxID=73025 RepID=A0A7S4FJC7_9EUGL
UniRef50_A0A125RBI6    -          YP_009664521.1       -              0.018   26.2   7.1     0.023   25.9   7.1   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Methanobrevibacter sp. YE315 TaxID=1609968 RepID=A0A125RBI6_9EURY
UniRef50_A0A2E0PL82    -          YP_009664521.1       -              0.018   26.2   8.7     0.018   26.2   8.7   3.4   2   1   0   2   2   1   0 PMT_2 domain-containing protein n=3 Tax=cellular organisms TaxID=131567 RepID=A0A2E0PL82_9BACT
UniRef50_A0A6S6S513    -          YP_009664521.1       -              0.021   26.0   3.9     0.021   26.0   3.9   1.1   1   0   0   1   1   1   0 Uncharacterized protein n=1 Tax=uncultured Campylobacterales bacterium TaxID=352960 RepID=A0A6S6S513_9PROT
UniRef50_A0A7M4AMR0    -          YP_009664521.1       -              0.023   25.9   6.8      0.11   23.6   6.8   1.9   1   1   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=1 Tax=Candidatus Poseidoniales archaeon TaxID=2163009 RepID=A0A7M4AMR0_9ARCH
UniRef50_A0A522CGD3    -          YP_009664521.1       -              0.023   25.9  18.2     0.036   25.3  18.2   1.4   1   1   0   1   1   1   0 Uncharacterized protein n=1 Tax=Alphaproteobacteria bacterium TaxID=1913988 RepID=A0A522CGD3_9PROT
UniRef50_A0A2E5IFE6    -          YP_009664521.1       -              0.023   25.9  12.7      0.25   22.5  12.7   2.2   1   1   0   1   1   1   0 Acyl_transf_3 domain-containing protein n=15 Tax=cellular organisms TaxID=131567 RepID=A0A2E5IFE6_9EURY
UniRef50_A0A136LP50    -          YP_009664521.1       -              0.025   25.8   2.5      0.03   25.5   2.5   1.1   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=2 Tax=Bacteroidetes TaxID=976 RepID=A0A136LP50_9BACT
UniRef50_A0A7L4Q370    -          YP_009664521.1       -              0.025   25.8  21.1     0.025   25.8  21.1   2.7   1   1   1   2   2   1   0 DUF1624 domain-containing protein n=1 Tax=Methanosarcinales archaeon TaxID=2250255 RepID=A0A7L4Q370_9EURY
UniRef50_UPI0004B91464 -          YP_009664521.1       -              0.026   25.7  16.3     0.026   25.7  16.3   2.6   1   1   1   2   2   1   0 acyltransferase family protein n=1 Tax=[Clostridium] dakarense TaxID=1301100 RepID=UPI0004B91464
UniRef50_A0A0C1IZC6    -          YP_009664521.1       -              0.027   25.7  10.4     0.042   25.0  10.4   1.3   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=3 Tax=Bacteroidetes TaxID=976 RepID=A0A0C1IZC6_9BACT
UniRef50_W1TVK2        -          YP_009664521.1       -              0.028   25.6   8.5     0.036   25.3   8.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein n=2 Tax=Streptococcus anginosus TaxID=1328 RepID=W1TVK2_STRAP
UniRef50_UPI00189C38D0 -          YP_009664521.1       -              0.028   25.6   0.8      0.03   25.5   0.8   1.2   1   0   0   1   1   1   0 acyltransferase family protein n=2 Tax=Parabacteroides merdae TaxID=46503 RepID=UPI00189C38D0
UniRef50_UPI0019620597 -          YP_009664521.1       -              0.032   25.4  35.3       3.1   18.9  12.7   2.5   1   1   1   2   2   2   0 DUF1624 domain-containing protein n=1 Tax=Streptococcus saliviloxodontae TaxID=1349416 RepID=UPI0019620597
UniRef50_A0A4Q3P7J8    -          YP_009664521.1       -              0.033   25.4  10.9       0.2   22.9  11.0   2.1   1   1   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=1 Tax=Cytophagaceae bacterium TaxID=2026729 RepID=A0A4Q3P7J8_9BACT
UniRef50_A0A2D9Q3C9    -          YP_009664521.1       -              0.034   25.4   1.1     0.086   24.0   1.1   1.6   1   1   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=1 Tax=Euryarchaeota archaeon TaxID=2026739 RepID=A0A2D9Q3C9_9EURY
UniRef50_A0A6C0L4U2    -          YP_009664521.1       -              0.035   25.3  20.9      0.16   23.2  20.9   2.1   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=viral metagenome TaxID=1070528 RepID=A0A6C0L4U2_9ZZZZ
UniRef50_UPI001239CA37 -          YP_009664521.1       -              0.038   25.2  14.8     0.038   25.2  14.8   3.2   2   1   0   3   3   2   0 hypothetical protein n=1 Tax=Salegentibacter sp. R32 TaxID=1486285 RepID=UPI001239CA37
UniRef50_A0A5B9W9B3    -          YP_009664521.1       -              0.039   25.2   4.2     0.039   25.2   4.2   2.3   1   1   0   2   2   1   0 DUF1624 domain-containing protein n=7 Tax=Isosphaeraceae TaxID=1763524 RepID=A0A5B9W9B3_9BACT
UniRef50_L0F3W3        -          YP_009664521.1       -               0.04   25.1  14.9     0.054   24.7  14.9   1.4   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=16 Tax=root TaxID=1 RepID=L0F3W3_DESDL
UniRef50_A0A7S0DB93    -          YP_009664521.1       -              0.044   25.0   4.6     0.088   24.0   4.6   1.5   1   1   0   1   1   1   0 Hypothetical protein n=1 Tax=Amorphochlora amoebiformis TaxID=1561963 RepID=A0A7S0DB93_9EUKA
UniRef50_A0A143WZM7    -          YP_009664521.1       -              0.045   25.0  26.6     0.087   24.0  26.6   1.5   1   1   0   1   1   1   0 Serine/alanine racemase n=1 Tax=Clostridiales bacterium CHKCI006 TaxID=1780379 RepID=A0A143WZM7_9FIRM
UniRef50_A0A2V7XUG5    -          YP_009664521.1       -              0.045   25.0   8.8     0.049   24.8   4.9   2.4   2   0   0   2   2   1   0 PMT_2 domain-containing protein n=1 Tax=Acidobacteria bacterium TaxID=1978231 RepID=A0A2V7XUG5_9BACT
UniRef50_UPI001783E22E -          YP_009664521.1       -              0.046   24.9   4.4     0.053   24.7   4.4   1.0   1   0   0   1   1   1   0 hypothetical protein n=1 Tax=Lentilactobacillus parafarraginis TaxID=390842 RepID=UPI001783E22E
UniRef50_A0A2E2I7B0    -          YP_009664521.1       -              0.046   24.9  22.4      0.13   23.4   5.4   2.2   1   1   0   2   2   2   0 DUF1624 domain-containing protein n=1 Tax=Euryarchaeota archaeon TaxID=2026739 RepID=A0A2E2I7B0_9EURY
UniRef50_W0E924        -          YP_009664521.1       -              0.046   24.9  17.7     0.058   24.6  17.7   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=2 Tax=Desulfitobacterium TaxID=36853 RepID=W0E924_9FIRM
UniRef50_A0A3N5GNS6    -          YP_009664521.1       -              0.046   24.9   6.1      0.11   23.6   6.1   1.8   1   1   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=1 Tax=Myxococcaceae bacterium TaxID=2484252 RepID=A0A3N5GNS6_9DELT
UniRef50_A0A523LMU6    -          YP_009664521.1       -              0.047   24.9   0.7     0.051   24.8   0.7   1.0   1   0   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=2 Tax=Bacteria TaxID=2 RepID=A0A523LMU6_9GAMM
UniRef50_UPI0004765FF9 -          YP_009664521.1       -              0.051   24.8   0.4     0.057   24.6   0.4   1.0   1   0   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Segetibacter koreensis TaxID=398037 RepID=UPI0004765FF9
UniRef50_A0A315DGS7    -          YP_009664521.1       -              0.052   24.7   6.2     0.052   24.7   6.2   2.9   3   1   0   3   3   1   0 Uncharacterized protein n=1 Tax=Limnohabitans sp. 2KL-51 TaxID=1977911 RepID=A0A315DGS7_9BURK
UniRef50_A0A1T4X5J8    -          YP_009664521.1       -              0.052   24.7  20.2     0.086   24.0  20.2   1.4   1   1   0   1   1   1   0 Uncharacterized membrane protein n=2 Tax=Caloramator TaxID=44258 RepID=A0A1T4X5J8_9CLOT
UniRef50_A0A087E9M8    -          YP_009664521.1       -              0.054   24.7  12.0     0.054   24.7  12.0   1.6   1   1   1   2   2   1   0 Probable membrane transporter protein n=11 Tax=Terrabacteria group TaxID=1783272 RepID=A0A087E9M8_9BIFI
UniRef50_W7VGG9        -          YP_009664521.1       -              0.055   24.7   0.1     0.076   24.2   0.1   1.1   1   0   0   1   1   1   0 LigA protein (Fragment) n=2 Tax=Micromonospora TaxID=1873 RepID=W7VGG9_9ACTN
UniRef50_E7FWR8        -          YP_009664521.1       -              0.055   24.7  26.3     0.065   24.4  26.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein n=7 Tax=Erysipelotrichaceae TaxID=128827 RepID=E7FWR8_ERYRH
UniRef50_F2JJV7        -          YP_009664521.1       -              0.057   24.6  19.2     0.057   24.6  19.2   1.9   2   1   0   2   2   1   0 Acyltransferase 3 n=1 Tax=Cellulosilyticum lentocellum (strain ATCC 49066 / DSM 5427 / NCIMB 11756 / RHM5) TaxID=642492 RepID=F2JJV7_CELLD
UniRef50_A0A550HCM1    -          YP_009664521.1       -              0.058   24.6  37.3        20   16.3  15.2   2.7   2   1   0   2   2   2   0 DUF1624 domain-containing protein n=1 Tax=Candidatus Bathyarchaeota archaeon TaxID=2026714 RepID=A0A550HCM1_9ARCH
UniRef50_A0A2Z6UGL2    -          YP_009664521.1       -               0.06   24.5   2.5     0.084   24.1   2.5   1.4   1   0   0   1   1   1   0 O-antigen polymerase protein n=2 Tax=Glaciecola sp. (strain KUL10) TaxID=2161813 RepID=A0A2Z6UGL2_GLASK
UniRef50_UPI00163CAD22 -          YP_009664521.1       -              0.064   24.5   0.6     0.071   24.3   0.6   1.0   1   0   0   1   1   1   0 hypothetical protein n=2 Tax=Enterobacteriaceae TaxID=543 RepID=UPI00163CAD22
UniRef50_A0A123UEP2    -          YP_009664521.1       -              0.064   24.5  15.3     0.064   24.5  15.3   2.3   1   1   1   2   2   1   0 Membrane protein n=3 Tax=Streptococcus suis TaxID=1307 RepID=A0A123UEP2_STRSU
UniRef50_A0A2N1WSC6    -          YP_009664521.1       -              0.066   24.4   6.7     0.089   24.0   6.7   1.2   1   0   0   1   1   1   0 DUF1624 domain-containing protein (Fragment) n=4 Tax=Proteobacteria TaxID=1224 RepID=A0A2N1WSC6_9GAMM
UniRef50_A0A2V5BAK1    -          YP_009664521.1       -              0.067   24.4   5.9      0.11   23.7   5.9   1.3   1   1   0   1   1   1   0 Uncharacterized protein DUF1624 n=1 Tax=Novosphingobium sp. GV010 TaxID=2135477 RepID=A0A2V5BAK1_9SPHN
UniRef50_A0A3Q8Z080    -          YP_009664521.1       -              0.068   24.4   2.4     0.081   24.1   2.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein n=6 Tax=unclassified Mesorhizobium TaxID=325217 RepID=A0A3Q8Z080_9HYPH
UniRef50_A0A357NFG1    -          YP_009664521.1       -              0.071   24.3   8.4     0.088   24.0   8.4   1.3   1   1   0   1   1   1   0 DUF1624 domain-containing protein n=1 Tax=Firmicutes bacterium TaxID=1879010 RepID=A0A357NFG1_9FIRM
